BLS Job Title,LONG_OCC_CODE,Percentage with AA Degree or Less,Percentage with BA Degree or More,Total Employment (National),Mean Annual Wage (National),Annual Wage 10th Pct (National),Annual Wage 25th Pct (National),Median Annual Wage (National),Annual Wage 75th Pct (National),Annual Wage 90th Pct (National),Typical education needed for entry,Work experience in a related occupation,Non-Entry Level,BA Entry Level,Middle Skilled,Low Wage
Senior Project Manager,15-1199.09,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Software Architect,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Software QA Engineer / Tester,15-1199.01,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Systems Architect,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Systems Architect,15-1133.00,14.7,85.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Unix Administrator / Engineer,15-1142.00,43.9,56.1,,,,,,,,Bachelor's degree,None,False,True,False,False
Vice President of Communications,11-2031.91,11.5,88.5,,,,,,,,Bachelor's degree,5 years or more,True,False,False,False
Cloud Architect,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Cloud Architect,15-1133.00,14.7,85.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Program Manager (General),11-9199.00,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
